"","prob","acc","elap","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20"
"1",0.05,0.830999517141478,2.02999999999884,"A","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"2",0.05,0.838778904447663,2.09999999999854,"A","A","B","A","A","E","D","A","A","A","C","C","B","A","E","E","A","B","B","B"
"3",0.05,0.835989055206824,2.06999999999971,"A","A","A","A","A","E","D","B","A","A","C","C","B","A","E","C","A","B","B","B"
"4",0.05,0.833735715435377,2.23999999999796,"A","A","B","A","A","E","D","A","A","A","B","B","B","A","E","E","A","B","B","B"
"5",0.05,0.83427222490477,2.13000000000102,"A","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","A","B"
"6",0.05,0.835667149525189,2.09999999999854,"A","A","B","A","A","E","D","A","A","A","B","C","A","A","E","C","A","B","B","A"
"7",0.05,0.83014110199045,2.02999999999884,"B","A","B","A","A","E","D","A","A","A","B","B","B","A","E","E","A","B","A","C"
"8",0.05,0.832501743655776,2.06000000000131,"B","A","B","A","B","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"9",0.05,0.836364611835399,2.10999999999694,"B","A","A","A","A","E","D","B","A","A","B","C","B","A","E","A","A","B","B","B"
"10",0.05,0.830409356725146,2.04999999999927,"A","A","A","A","C","E","D","A","A","A","C","A","B","A","E","E","A","B","A","B"
"11",0.05,0.833467460700681,2.02999999999884,"B","A","B","A","A","E","D","A","A","A","B","C","C","A","E","E","A","B","B","B"
"12",0.05,0.821771554267933,2.09999999999854,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","A","B"
"13",0.05,0.824776007296529,2.06000000000131,"B","A","B","A","A","E","D","A","A","A","B","C","C","A","E","E","A","B","A","C"
"14",0.05,0.841139546112989,2.09000000000015,"A","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","A","B"
"15",0.05,0.830194752937389,2.11000000000058,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"16",0.05,0.827834111272064,2.13999999999942,"B","A","B","A","A","E","D","D","A","A","B","C","B","A","E","E","A","B","B","B"
"17",0.05,0.820269327753635,2.04000000000087,"B","A","B","A","A","E","D","D","A","A","B","A","B","A","E","E","A","B","B","C"
"18",0.05,0.832501743655776,2.04999999999927,"B","A","B","A","A","E","D","B","A","A","C","C","B","A","E","B","A","B","B","B"
"19",0.05,0.835506196684371,2.09000000000015,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"20",0.05,0.839744621492569,2.06000000000131,"B","A","B","A","B","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"21",0.05,0.825419818659799,2.09000000000015,"A","A","B","A","A","E","D","A","A","A","C","A","B","A","E","E","A","B","B","C"
"22",0.05,0.829121733998605,2.05999999999767,"A","A","B","A","A","E","D","B","A","A","B","C","E","A","E","E","A","B","B","B"
"23",0.05,0.813616610333172,2.01000000000204,"A","A","B","A","E","D","D","A","A","A","C","C","B","C","E","E","A","B","B","C"
"24",0.05,0.825473469606739,2.09000000000015,"A","A","B","A","C","E","D","B","A","A","C","C","B","A","E","E","A","B","B","B"
"25",0.05,0.820698535329149,2.06000000000131,"A","A","B","A","A","E","D","C","A","A","B","C","B","A","E","E","A","C","B","B"
"26",0.05,0.84242716883953,2.15999999999985,"A","A","B","A","A","E","D","B","A","A","C","C","B","A","E","A","A","B","B","B"
"27",0.05,0.833199205965985,2.09000000000015,"A","A","B","A","A","E","D","A","A","A","B","C","B","A","E","A","A","B","B","B"
"28",0.05,0.832930951231289,2.02999999999884,"A","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"29",0.05,0.828209667900638,2.06999999999971,"B","A","B","A","C","E","D","B","A","A","B","C","B","A","E","C","A","B","B","C"
"30",0.05,0.842856376415044,2.09000000000015,"B","A","B","A","A","E","D","B","A","A","C","C","B","A","E","E","A","C","B","A"
"31",0.1,0.891040887982784,3.77000000000044,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"32",0.1,0.886113942688866,3.75,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"33",0.1,0.878128893419413,3.70000000000073,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","C"
"34",0.1,0.877675840978593,3.81000000000131,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","A","B"
"35",0.1,0.880903839619436,3.69000000000233,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"36",0.1,0.879771208517386,4,"A","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"37",0.1,0.876316683656133,4.23999999999796,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"38",0.1,0.883282364933741,3.79999999999927,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","A","A","B","A","B"
"39",0.1,0.887699626231736,3.86000000000058,"B","A","B","A","A","E","D","B","A","A","B","A","B","A","E","E","A","B","B","B"
"40",0.1,0.876146788990826,3.72999999999956,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"41",0.1,0.877222788537773,3.68000000000029,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","C","B","B"
"42",0.1,0.888605731113376,3.72999999999956,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"43",0.1,0.880054366292898,3.81000000000131,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"44",0.1,0.884924680031714,3.76000000000204,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"45",0.1,0.886057311133764,3.7599999999984,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"46",0.1,0.881979839166384,3.70000000000073,"B","A","B","A","B","E","D","B","A","A","C","C","B","A","E","E","A","B","B","C"
"47",0.1,0.885944048023559,3.72999999999956,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","C"
"48",0.1,0.877675840978593,3.79999999999927,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"49",0.1,0.876543209876543,3.78000000000247,"B","A","B","A","A","E","D","B","A","A","C","C","B","A","E","E","A","B","B","B"
"50",0.1,0.883565522709254,3.72999999999956,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"51",0.1,0.882829312492921,3.75,"A","A","B","A","A","E","D","B","A","A","C","C","B","A","E","E","A","B","B","B"
"52",0.1,0.883282364933741,3.70999999999913,"B","A","A","A","B","E","D","B","A","A","C","C","B","A","E","E","A","B","B","B"
"53",0.1,0.882093102276589,3.82999999999811,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"54",0.1,0.887246573790916,3.77999999999884,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"55",0.1,0.868954581492808,3.68000000000029,"B","A","B","A","B","E","D","A","A","A","C","C","B","A","E","E","A","B","B","B"
"56",0.1,0.881413523615359,3.79999999999927,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"57",0.1,0.882206365386794,3.75,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"58",0.1,0.885207837807226,3.72999999999956,"B","A","B","A","A","E","D","B","A","A","C","C","B","A","E","E","A","B","B","B"
