"","prob","acc","elap","welap","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20"
"1",0.05,0.92698106121573,3.91999999999825,4,"B","A","A","A","A","E","D","B","A","A","A","C","B","A","E","E","A","B","B","B"
"2",0.05,0.915285154782982,4.05000000000291,8.07000000000698,"C","A","B","A","A","E","D","B","A","A","B","C","E","A","E","E","A","B","A","B"
"3",0.05,0.910134663876817,4.11999999999534,12.2200000000012,"C","A","B","A","A","E","D","D","A","A","C","C","B","A","E","E","A","B","B","B"
"4",0.1,0.951183599501642,8.02999999999884,20.2700000000041,"B","A","C","A","A","E","D","D","A","A","B","C","B","A","E","E","A","B","B","B"
"5",0.1,0.944784233775059,8.0399999999936,28.320000000007,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","A","B"
"6",0.1,0.958205912334353,8.16000000000349,36.4900000000052,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","A","B"
"7",0.15,0.961979010494753,12.3800000000047,48.8800000000047,"B","A","A","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"8",0.15,0.963778110944528,12.2799999999988,61.1700000000128,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"9",0.15,0.962578710644678,12.3800000000047,73.570000000007,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"10",0.2,0.972666454284804,16.8100000000122,90.390000000014,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"11",0.2,0.973112456196241,16.9100000000035,107.320000000007,"B","A","C","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"12",0.2,0.976361898693852,16.6900000000023,124.020000000004,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"13",0.25,0.97737003058104,21,145.030000000013,"B","A","C","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"14",0.25,0.981991165477404,21.4700000000012,166.520000000004,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"15",0.25,0.981651376146789,21.3299999999872,187.860000000001,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"16",0.3,0.98565499162601,25.5100000000093,213.390000000014,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"17",0.3,0.986310347338528,25.6999999999971,239.110000000001,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"18",0.3,0.981795674652297,25.6399999999994,264.770000000004,"B","A","C","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"19",0.35,0.986590338770389,30.3199999999924,295.100000000006,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"20",0.35,0.985492471769134,30.1100000000006,325.220000000001,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"21",0.35,0.987688205771644,30.4200000000128,355.640000000014,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"22",0.4,0.990146109412164,34.6200000000099,390.280000000013,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"23",0.4,0.986493374108053,34.4400000000023,424.740000000005,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"24",0.4,0.988786952089704,34.5800000000017,459.330000000002,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"25",0.45,0.990732159406858,39.4499999999971,498.800000000003,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"26",0.45,0.990268767377201,39.4199999999983,538.240000000005,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"27",0.45,0.990546802594995,39.2800000000134,577.530000000013,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"28",0.5,0.992966360856269,44.0800000000017,621.630000000005,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"29",0.5,0.991233435270133,44.0299999999988,665.670000000013,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"30",0.5,0.991539245667686,43.6399999999994,709.330000000002,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"31",0.55,0.991390053245723,48.5299999999988,757.880000000005,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"32",0.55,0.992522940976549,49.0699999999924,806.960000000006,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"33",0.55,0.991729919564971,48.3600000000006,855.330000000002,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"34",0.6,0.994646271510516,56,911.350000000006,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"35",0.6,0.991969407265774,55.8100000000122,967.170000000013,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"36",0.6,0.994773741236456,55.8899999999994,1023.08,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"37",0.65,0.992715617715618,62.4700000000012,1085.57000000001,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"38",0.65,0.995192307692308,65.3400000000111,1150.92000000001,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"39",0.65,0.995920745920746,65.7700000000041,1216.71000000001,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"40",0.7,0.993541808293678,70.8100000000122,1287.53000000001,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"41",0.7,0.994901427600272,68.6999999999971,1356.27,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"42",0.7,0.995751189666893,66.9400000000023,1423.24000000001,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"43",0.75,0.996736026111791,72.1000000000058,1495.35000000001,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"44",0.75,0.996328029375765,69.9700000000012,1565.33,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"45",0.75,0.994492044063647,70.3600000000006,1635.71000000001,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"46",0.8,0.99821565128728,76.3000000000029,1712.03000000001,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"47",0.8,0.99668620953352,75.7899999999936,1787.82000000001,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"48",0.8,0.994137139943921,75.3000000000029,1863.13,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"49",0.85,0.997959877592656,81.1399999999994,1944.28000000001,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"50",0.85,0.997279836790207,83.5299999999988,2027.83,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"51",0.85,0.996599795987759,85.7299999999959,2113.58,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"52",0.9,0.995916283818275,93.820000000007,2207.42000000001,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"53",0.9,0.998468606431853,93.7599999999948,2301.22,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"54",0.9,0.998979070954569,90.1699999999983,2391.41,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
